"indicator","geography_code","quintile","period","numerator","indicator_measure","lower_confidence_interval","upper_confidence_interval","definition","relative_inequality_gap","lower_confidence_interval_relative_ineq","upper_confidence_interval_relative_ineq","absolute_inequality_gap","lower_confidence_interval_absolute_ineq","upper_confidence_interval_absolute_ineq","population_attributable_risk"
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2002/03 to 2004/05 financial years; 3-year aggregates",212.7,527.2,456.6,605.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2002/03 to 2004/05 financial years; 3-year aggregates",173,416.2,355.5,484.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2002/03 to 2004/05 financial years; 3-year aggregates",169.3,424.9,359.6,498.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2002/03 to 2004/05 financial years; 3-year aggregates",82.3,221.1,172.7,278.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2002/03 to 2004/05 financial years; 3-year aggregates",76.7,197.3,153.1,249.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2002/03 to 2004/05 financial years; 3-year aggregates",714,350.9,324.6,378.7,"Age-sex standardised rate per 100,000",60.8,23.8,97.8,426.7,166.8,686.6,44.6
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2003/04 to 2005/06 financial years; 3-year aggregates",213,520.4,450.8,597.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2003/04 to 2005/06 financial years; 3-year aggregates",161.7,391.4,332.4,457.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2003/04 to 2005/06 financial years; 3-year aggregates",156.3,399.6,336.1,471.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2003/04 to 2005/06 financial years; 3-year aggregates",79,214.8,167.2,271.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2003/04 to 2005/06 financial years; 3-year aggregates",78.7,207.5,162,261.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2003/04 to 2005/06 financial years; 3-year aggregates",688.7,339.3,313.5,366.6,"Age-sex standardised rate per 100,000",59,22.2,95.8,400.5,150.6,650.4,40.1
"Psychiatric patient hospitalisations","S12000033","1 - most deprived","2004/05 to 2006/07 financial years; 3-year aggregates",212.3,518,448.2,595.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","2","2004/05 to 2006/07 financial years; 3-year aggregates",148.3,359.8,302.3,424.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","3","2004/05 to 2006/07 financial years; 3-year aggregates",144,373.5,312.3,442.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","4","2004/05 to 2006/07 financial years; 3-year aggregates",73.3,200.4,154.4,255.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","5 - least deprived","2004/05 to 2006/07 financial years; 3-year aggregates",72,191.6,148.1,243.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000033","Total","2004/05 to 2006/07 financial years; 3-year aggregates",650,321.8,296.6,348.5,"Age-sex standardised rate per 100,000",63.2,22.6,103.7,406.6,145.6,667.5,41.8
